datetime,game_length,game_result,time_per_game,training_steps
2024-03-06 19:37:57,27,B+1.0,17.4655,0
2024-03-06 19:38:34,34,W+1.0,27.1554,0
2024-03-06 19:38:44,9,B+1.0,21.5234,0
2024-03-06 19:39:46,36,W+1.0,31.7324,0
2024-03-06 19:41:22,42,W+1.0,44.6083,0
2024-03-10 17:02:10,27,B+1.0,49.2336,0
2024-03-10 17:03:10,34,W+1.0,54.6855,0
2024-03-10 17:03:21,9,B+1.0,40.3021,0
2024-03-10 17:04:17,36,W+1.0,44.1223,0
2024-03-10 17:05:41,42,W+1.0,52.1632,0
2024-03-10 17:06:36,26,W+1.0,52.5577,0
2024-03-10 17:07:11,19,B+1.0,50.112,0
2024-03-10 17:08:06,31,B+1.0,50.6466,0
2024-03-10 17:09:45,41,B+1.0,56.0765,0
2024-03-10 17:10:46,29,B+1.0,56.5547,0
2024-03-10 17:12:19,37,B+1.0,59.8667,0
2024-03-10 17:13:59,44,W+1.0,63.1899,0
2024-03-10 17:15:20,32,W+1.0,64.5932,0
2024-03-10 17:16:59,40,W+1.0,67.0217,0
2024-03-10 17:17:45,40,W+1.0,65.6228,0
2024-03-10 17:18:14,31,B+1.0,63.3586,0
2024-03-10 17:18:58,40,W+1.0,62.1716,0
2024-03-10 17:19:23,25,B+1.0,60.1409,0
2024-03-10 17:20:08,38,W+1.0,59.3541,0
2024-03-10 17:20:40,41,B+1.0,57.9549,0
